Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,Notes
EDDR0213,Omegahertz,Gamma Sirius,Elxis DiscoGraphic,"CD, Album",,2013,4550508,,2014-12-09 19:40:57
none,David Tagg,Extreme Scenic Route,Expanding Electronic Diversity,"CDr, EP, Ltd",,2005,902847,,2013-03-31 16:49:59
EXT-0018,Ex Boys,Plays,ExT Recordings,"CD, Mixed",,2012,3350726,,2018-01-07 19:13:20
F.R.D-CD010,Ryoma Maeda,Ennui New PiG,F.R.D Record,"CD, Album",,2000,1860496,,2017-12-18 16:22:40
FBRCD339,Various,The Best Of United Dance,Fourbeat Records,"2xCD, Comp, Mixed",,1998,192909,,2018-04-23 12:05:23
FCIRLTD001,DJ Yousuke & Buzzmasta,Quiet Funky Systems Vol. 1,Full Circle Recordings,"CD, Album, Ltd, Mixed",,2006,857904,,2018-12-08 17:06:47
GABDLTD003,M-Project,Happy Generation,Gabba Disco,"CD, Comp, Mixed",,2007,1100029,,2017-07-31 17:44:51
GDLIM0001,DJ Chucky and The Jage,Live Recorded At High Emotion,Gabba Disco,"CDr, Ltd, Mixed",,2000,1723654,,2019-03-31 15:57:04
"GABDCD004, DDCG-3001",DJ Chucky & NDE (3),Ultimate Damage,"Gabba Disco, Guhroovy","CD, Mixed",,2006,848909,,2019-03-31 15:56:22
GDP-0001,Brisk,Newstyle Mix,Gabbadisco Progressive,"CDr, Mixed",,2002,1510507,,2017-07-31 17:43:39
none,"K.G.& The Digital ""X"" Tasy Crew",It's A Digital Ecstasy World,Ghetto.Jp,"CD, EP",,2002,7720352,,2018-01-07 19:11:56
none,Kazuo Gondayama,Let's Urban Fancy Life,Ghetto.Jp,"CD, EP",,2002,7720717,,2018-01-07 19:12:23
none,Kunio Matsushita,Mope,Ghetto.Jp,"CD, EP",,2002,7720692,,2018-01-07 19:13:02
"GIM023, AMR 006",Procer Veneficus,A Summerhaze Array For August Nights,"God Is Myth Records, Ars Magna Recordings","2xCD, Album, Ltd + Box",,2007,1087982,,2018-05-24 20:10:47
CHU-003,DJ Chucky,Hardcore Paradise,Guhroovy,"CDr, Mixed, Promo",,2001,4982356,,2019-03-31 15:56:43
none,DJ Chucky,Dark Power,Guhroovy,"CDr, Mixed",,1999,2569223,,2018-08-21 12:49:26
none,DJ Chucky & DJ Depath,Happy Dynamite Mix,Guhroovy,"CDr, Mixed, Promo",,2000,2176956,,2019-03-31 15:56:56
HOCD-0003,Various,Heavy Sound Flip Out,H.C.O.,"CDr, Comp",,2011,2886536,,2012-10-19 12:01:50
HOCD-0006,Various,Omoro Trance Sensation,H.C.O.,"CDr, Comp",,2012,3803350,,2012-10-19 12:01:58
HHC.COM-2,Cotts & DJ Ravine,Hardcore Addiction 2,Happyhardcore.com,"CD, Mixed",,2009,2683506,,2018-02-24 17:06:27
HHC.COM-3,Cotts & DJ Ravine / DJ Silver (2),Hardcore Addiction 3,Happyhardcore.com,"2xCD, Mixed",,2010,2683718,,2018-02-24 17:06:05
HHC004,Milo (9) & Orbit1,Hardcore Addiction 4,HappyHardcore.com,"CD, Comp, Mixed",,2010,5728448,,2018-02-24 17:06:52
HUDSCD007,Various,DJ Tools Vol 1,Hardcore Underground,"CD, Comp, Dig",,2014,5545792,,2017-07-09 16:50:26
